F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'buying': 0.0, 'maint': 0.0, 'doors': 0.0, 'persons': 0.0, 'lug_boot': 0.0, 'safety': 1.0}",71.098,0:00:00.017318,0:00:00.056747
3,1,"{'buying': 0.0, 'maint': 0.0, 'doors': 0.0, 'persons': 0.0, 'lug_boot': 0.0, 'safety': 1.0}",71.098,0:00:00.126319,0:00:00.058959
4,1,"{'buying': 0.0, 'maint': 0.0, 'doors': 0.0, 'persons': 1.0, 'lug_boot': 0.0, 'safety': 0.0}",71.098,0:00:00.107991,0:00:00.058817
,1,"{'buying': 0.0, 'maint': 0.0, 'doors': 0.0, 'persons': 1.0, 'lug_boot': 0.0, 'safety': 0.0}",71.098,0:00:00.091050,0:00:00.058696
1,10,"{'buying': 0.333, 'maint': 0.0, 'doors': 0.083, 'persons': 0.0, 'lug_boot': 0.25, 'safety': 0.333}",71.098,0:00:00.253825,0:00:00.626098
3,10,"{'buying': 0.167, 'maint': 0.167, 'doors': 0.0, 'persons': 0.417, 'lug_boot': 0.0, 'safety': 0.25}",71.098,0:00:01.214562,0:00:00.632174
4,10,"{'buying': 0.167, 'maint': 0.167, 'doors': 0.0, 'persons': 0.417, 'lug_boot': 0.0, 'safety': 0.25}",71.098,0:00:01.541522,0:00:00.622574
,10,"{'buying': 0.182, 'maint': 0.0, 'doors': 0.0, 'persons': 0.636, 'lug_boot': 0.091, 'safety': 0.091}",71.098,0:00:01.118376,0:00:00.601215
1,25,"{'buying': 0.188, 'maint': 0.25, 'doors': 0.031, 'persons': 0.156, 'lug_boot': 0.094, 'safety': 0.281}",71.098,0:00:00.652267,0:00:01.569625
3,25,"{'buying': 0.091, 'maint': 0.091, 'doors': 0.091, 'persons': 0.455, 'lug_boot': 0.061, 'safety': 0.212}",71.098,0:00:02.832050,0:00:01.634441
4,25,"{'buying': 0.038, 'maint': 0.038, 'doors': 0.0, 'persons': 0.692, 'lug_boot': 0.0, 'safety': 0.231}",71.098,0:00:03.610070,0:00:01.427940
,25,"{'buying': 0.121, 'maint': 0.242, 'doors': 0.091, 'persons': 0.424, 'lug_boot': 0.0, 'safety': 0.121}",71.098,0:00:03.895364,0:00:01.556923
1,50,"{'buying': 0.127, 'maint': 0.286, 'doors': 0.159, 'persons': 0.143, 'lug_boot': 0.048, 'safety': 0.238}",71.098,0:00:01.438485,0:00:03.091110
3,50,"{'buying': 0.162, 'maint': 0.103, 'doors': 0.074, 'persons': 0.338, 'lug_boot': 0.059, 'safety': 0.265}",71.098,0:00:05.669688,0:00:03.059887
4,50,"{'buying': 0.038, 'maint': 0.038, 'doors': 0.0, 'persons': 0.673, 'lug_boot': 0.0, 'safety': 0.25}",71.098,0:00:07.205817,0:00:02.897820
,50,"{'buying': 0.11, 'maint': 0.137, 'doors': 0.164, 'persons': 0.397, 'lug_boot': 0.055, 'safety': 0.137}",71.098,0:00:06.787138,0:00:02.962883
1,75,"{'buying': 0.33, 'maint': 0.214, 'doors': 0.117, 'persons': 0.107, 'lug_boot': 0.126, 'safety': 0.107}",71.098,0:00:02.213263,0:00:04.614313
3,75,"{'buying': 0.148, 'maint': 0.164, 'doors': 0.139, 'persons': 0.221, 'lug_boot': 0.09, 'safety': 0.238}",71.098,0:00:09.215563,0:00:04.574473
4,75,"{'buying': 0.085, 'maint': 0.085, 'doors': 0.0, 'persons': 0.585, 'lug_boot': 0.0, 'safety': 0.244}",71.098,0:00:10.766831,0:00:04.210730
,75,"{'buying': 0.135, 'maint': 0.198, 'doors': 0.021, 'persons': 0.396, 'lug_boot': 0.083, 'safety': 0.167}",71.098,0:00:08.687589,0:00:04.449826
1,100,"{'buying': 0.177, 'maint': 0.21, 'doors': 0.177, 'persons': 0.105, 'lug_boot': 0.137, 'safety': 0.194}",71.098,0:00:02.895274,0:00:06.140931
3,100,"{'buying': 0.169, 'maint': 0.127, 'doors': 0.085, 'persons': 0.352, 'lug_boot': 0.063, 'safety': 0.204}",71.098,0:00:12.252271,0:00:06.647083
4,100,"{'buying': 0.057, 'maint': 0.057, 'doors': 0.0, 'persons': 0.594, 'lug_boot': 0.0, 'safety': 0.292}",71.098,0:00:14.247575,0:00:05.625790
,100,"{'buying': 0.13, 'maint': 0.13, 'doors': 0.057, 'persons': 0.496, 'lug_boot': 0.024, 'safety': 0.163}",71.098,0:00:11.902448,0:00:06.047974
