F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'mcg': 0.0, 'gvh': 0.0, 'aac': 1.0, 'alm1': 0.0, 'alm2': 0.0}",50.0,0:00:00.649263,0:00:00.031437
2,1,"{'mcg': 0.0, 'gvh': 0.0, 'aac': 0.0, 'alm1': 0.667, 'alm2': 0.333}",69.118,0:00:02.150197,0:00:00.037742
3,1,"{'mcg': 0.0, 'gvh': 0.286, 'aac': 0.429, 'alm1': 0.286, 'alm2': 0.0}",82.353,0:00:03.548922,0:00:00.040173
,1,"{'mcg': 0.583, 'gvh': 0.0, 'aac': 0.0, 'alm1': 0.0, 'alm2': 0.417}",80.882,0:00:02.776889,0:00:00.056375
1,10,"{'mcg': 0.367, 'gvh': 0.0, 'aac': 0.51, 'alm1': 0.0, 'alm2': 0.122}",52.941,0:00:06.820761,0:00:00.269304
2,10,"{'mcg': 0.282, 'gvh': 0.239, 'aac': 0.254, 'alm1': 0.028, 'alm2': 0.197}",77.941,0:00:18.673975,0:00:00.328306
3,10,"{'mcg': 0.207, 'gvh': 0.253, 'aac': 0.218, 'alm1': 0.138, 'alm2': 0.184}",80.882,0:00:34.819841,0:00:00.406372
,10,"{'mcg': 0.223, 'gvh': 0.415, 'aac': 0.191, 'alm1': 0.138, 'alm2': 0.032}",80.882,0:00:36.825186,0:00:00.418604
1,25,"{'mcg': 0.246, 'gvh': 0.197, 'aac': 0.205, 'alm1': 0.23, 'alm2': 0.123}",69.118,0:00:20.148078,0:00:00.739870
2,25,"{'mcg': 0.232, 'gvh': 0.216, 'aac': 0.137, 'alm1': 0.279, 'alm2': 0.137}",80.882,0:00:52.690592,0:00:00.922032
3,25,"{'mcg': 0.24, 'gvh': 0.289, 'aac': 0.182, 'alm1': 0.129, 'alm2': 0.16}",83.824,0:01:27.790398,0:00:01.141903
,25,"{'mcg': 0.168, 'gvh': 0.234, 'aac': 0.305, 'alm1': 0.152, 'alm2': 0.142}",79.412,0:01:10.330533,0:00:00.925020
1,50,"{'mcg': 0.093, 'gvh': 0.405, 'aac': 0.136, 'alm1': 0.249, 'alm2': 0.117}",75.0,0:00:37.982710,0:00:01.332932
2,50,"{'mcg': 0.201, 'gvh': 0.273, 'aac': 0.222, 'alm1': 0.115, 'alm2': 0.19}",79.412,0:01:33.817900,0:00:01.663447
3,50,"{'mcg': 0.263, 'gvh': 0.241, 'aac': 0.203, 'alm1': 0.156, 'alm2': 0.138}",83.824,0:02:41.048498,0:00:02.038619
,50,"{'mcg': 0.32, 'gvh': 0.244, 'aac': 0.184, 'alm1': 0.14, 'alm2': 0.113}",82.353,0:02:55.713500,0:00:02.059053
1,75,"{'mcg': 0.176, 'gvh': 0.41, 'aac': 0.183, 'alm1': 0.137, 'alm2': 0.095}",64.706,0:00:55.919721,0:00:02.039443
2,75,"{'mcg': 0.245, 'gvh': 0.221, 'aac': 0.155, 'alm1': 0.204, 'alm2': 0.174}",80.882,0:02:31.039024,0:00:03.026794
3,75,"{'mcg': 0.266, 'gvh': 0.228, 'aac': 0.185, 'alm1': 0.16, 'alm2': 0.16}",83.824,0:04:42.973425,0:00:03.691395
,75,"{'mcg': 0.213, 'gvh': 0.232, 'aac': 0.33, 'alm1': 0.151, 'alm2': 0.075}",82.353,0:04:43.904233,0:00:03.297229
1,100,"{'mcg': 0.201, 'gvh': 0.387, 'aac': 0.149, 'alm1': 0.164, 'alm2': 0.1}",66.176,0:01:23.498998,0:00:02.982350
2,100,"{'mcg': 0.198, 'gvh': 0.234, 'aac': 0.256, 'alm1': 0.184, 'alm2': 0.127}",80.882,0:03:58.579444,0:00:03.965385
3,100,"{'mcg': 0.254, 'gvh': 0.204, 'aac': 0.229, 'alm1': 0.167, 'alm2': 0.145}",82.353,0:06:08.722008,0:00:04.076937
,100,"{'mcg': 0.226, 'gvh': 0.314, 'aac': 0.22, 'alm1': 0.143, 'alm2': 0.097}",82.353,0:05:52.110035,0:00:03.898487
