F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'Eye Colour': 0.0, 'Hair Colour': 1.0, 'Height': 0.0}",50.0,0:00:00.007071,0:00:00.000300
1,1,"{'Eye Colour': 0.0, 'Hair Colour': 0.0, 'Height': 1.0}",100.0,0:00:00.010249,0:00:00.000320
2,1,"{'Eye Colour': 0.0, 'Hair Colour': 0.0, 'Height': 1.0}",100.0,0:00:00.018531,0:00:00.000407
,1,"{'Eye Colour': 0.0, 'Hair Colour': 0.0, 'Height': 1.0}",100.0,0:00:00.016341,0:00:00.000388
1,10,"{'Eye Colour': 0.2, 'Hair Colour': 0.4, 'Height': 0.4}",50.0,0:00:00.078336,0:00:00.002734
1,10,"{'Eye Colour': 0.3, 'Hair Colour': 0.3, 'Height': 0.4}",50.0,0:00:00.095790,0:00:00.003141
2,10,"{'Eye Colour': 0.6, 'Hair Colour': 0.0, 'Height': 0.4}",50.0,0:00:00.137029,0:00:00.003335
,10,"{'Eye Colour': 0.6, 'Hair Colour': 0.1, 'Height': 0.3}",50.0,0:00:00.116470,0:00:00.003145
1,25,"{'Eye Colour': 0.48, 'Hair Colour': 0.48, 'Height': 0.04}",50.0,0:00:00.166264,0:00:00.008508
1,25,"{'Eye Colour': 0.32, 'Hair Colour': 0.44, 'Height': 0.24}",50.0,0:00:00.195212,0:00:00.007470
2,25,"{'Eye Colour': 0.52, 'Hair Colour': 0.0, 'Height': 0.48}",50.0,0:00:00.327342,0:00:00.008963
,25,"{'Eye Colour': 0.6, 'Hair Colour': 0.16, 'Height': 0.24}",50.0,0:00:00.310677,0:00:00.007996
1,50,"{'Eye Colour': 0.36, 'Hair Colour': 0.4, 'Height': 0.24}",50.0,0:00:00.400240,0:00:00.014119
1,50,"{'Eye Colour': 0.32, 'Hair Colour': 0.26, 'Height': 0.42}",50.0,0:00:00.421363,0:00:00.016149
2,50,"{'Eye Colour': 0.64, 'Hair Colour': 0.0, 'Height': 0.36}",50.0,0:00:00.637434,0:00:00.015849
,50,"{'Eye Colour': 0.6, 'Hair Colour': 0.18, 'Height': 0.22}",50.0,0:00:00.562800,0:00:00.016053
1,75,"{'Eye Colour': 0.307, 'Hair Colour': 0.32, 'Height': 0.373}",50.0,0:00:00.610095,0:00:00.022047
1,75,"{'Eye Colour': 0.333, 'Hair Colour': 0.267, 'Height': 0.4}",50.0,0:00:00.624142,0:00:00.021476
2,75,"{'Eye Colour': 0.627, 'Hair Colour': 0.0, 'Height': 0.373}",50.0,0:00:00.937244,0:00:00.027961
,75,"{'Eye Colour': 0.667, 'Hair Colour': 0.147, 'Height': 0.187}",50.0,0:00:00.823378,0:00:00.023969
1,100,"{'Eye Colour': 0.37, 'Hair Colour': 0.38, 'Height': 0.25}",50.0,0:00:00.768718,0:00:00.029247
1,100,"{'Eye Colour': 0.4, 'Hair Colour': 0.37, 'Height': 0.23}",50.0,0:00:00.748323,0:00:00.028268
2,100,"{'Eye Colour': 0.72, 'Hair Colour': 0.0, 'Height': 0.28}",50.0,0:00:01.210122,0:00:00.036348
,100,"{'Eye Colour': 0.73, 'Hair Colour': 0.09, 'Height': 0.18}",50.0,0:00:01.207645,0:00:00.033316
