F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
2,1,"{'gender': 0.0, 'age': 0.0, 'hypertension': 0.0, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 1.0, 'Residence_type': 0.0, 'avg_glucose_level': 0.0, 'bmi': 0.0, 'smoking_status': 0.0}",94.521,0:00:00.103978,0:00:00.278214
5,1,"{'gender': 0.0, 'age': 0.667, 'hypertension': 0.0, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.0, 'Residence_type': 0.0, 'avg_glucose_level': 0.111, 'bmi': 0.222, 'smoking_status': 0.0}",94.521,0:00:51.571482,0:00:00.909579
7,1,"{'gender': 0.0, 'age': 0.5, 'hypertension': 0.125, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.0, 'Residence_type': 0.0, 'avg_glucose_level': 0.25, 'bmi': 0.0, 'smoking_status': 0.125}",94.521,0:00:34.732826,0:00:00.824489
,1,"{'gender': 0.0, 'age': 0.5, 'hypertension': 0.125, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.0, 'Residence_type': 0.0, 'avg_glucose_level': 0.25, 'bmi': 0.0, 'smoking_status': 0.125}",94.521,0:00:41.479099,0:00:00.827251
2,10,"{'gender': 0.051, 'age': 0.308, 'hypertension': 0.051, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.026, 'Residence_type': 0.0, 'avg_glucose_level': 0.051, 'bmi': 0.359, 'smoking_status': 0.154}",94.521,0:00:41.327910,0:00:04.563015
5,10,"{'gender': 0.031, 'age': 0.446, 'hypertension': 0.092, 'heart_disease': 0.031, 'ever_married': 0.015, 'work_type': 0.046, 'Residence_type': 0.031, 'avg_glucose_level': 0.2, 'bmi': 0.062, 'smoking_status': 0.046}",94.521,0:02:21.244812,0:00:06.993920
7,10,"{'gender': 0.0, 'age': 0.514, 'hypertension': 0.111, 'heart_disease': 0.014, 'ever_married': 0.014, 'work_type': 0.042, 'Residence_type': 0.0, 'avg_glucose_level': 0.139, 'bmi': 0.111, 'smoking_status': 0.056}",94.521,0:05:17.511200,0:00:08.000356
,10,"{'gender': 0.0, 'age': 0.288, 'hypertension': 0.102, 'heart_disease': 0.068, 'ever_married': 0.051, 'work_type': 0.034, 'Residence_type': 0.034, 'avg_glucose_level': 0.203, 'bmi': 0.068, 'smoking_status': 0.153}",94.521,0:04:23.343276,0:00:07.412325
2,25,"{'gender': 0.021, 'age': 0.312, 'hypertension': 0.042, 'heart_disease': 0.042, 'ever_married': 0.031, 'work_type': 0.062, 'Residence_type': 0.042, 'avg_glucose_level': 0.135, 'bmi': 0.229, 'smoking_status': 0.083}",94.521,0:02:49.648022,0:00:11.299929
5,25,"{'gender': 0.02, 'age': 0.329, 'hypertension': 0.094, 'heart_disease': 0.06, 'ever_married': 0.047, 'work_type': 0.067, 'Residence_type': 0.013, 'avg_glucose_level': 0.141, 'bmi': 0.168, 'smoking_status': 0.06}",94.521,0:06:16.366591,0:00:16.593297
