F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'buying': 0.25, 'maint': 0.5, 'doors': 0.25, 'persons': 0.0, 'lug_boot': 0.0, 'safety': 0.0}",71.098,0:00:00.113370,0:00:00.098908
3,1,"{'buying': 0.0, 'maint': 0.0, 'doors': 0.0, 'persons': 1.0, 'lug_boot': 0.0, 'safety': 0.0}",71.098,0:00:00.162558,0:00:00.057876
3,1,"{'buying': 0.0, 'maint': 0.5, 'doors': 0.0, 'persons': 0.5, 'lug_boot': 0.0, 'safety': 0.0}",71.098,0:00:00.144493,0:00:00.079528
2,1,"{'buying': 0.0, 'maint': 0.0, 'doors': 0.0, 'persons': 0.0, 'lug_boot': 0.0, 'safety': 1.0}",71.098,0:00:00.092397,0:00:00.059067
1,10,"{'buying': 0.174, 'maint': 0.043, 'doors': 0.13, 'persons': 0.348, 'lug_boot': 0.13, 'safety': 0.174}",71.098,0:00:00.615649,0:00:00.879262
3,10,"{'buying': 0.263, 'maint': 0.158, 'doors': 0.053, 'persons': 0.263, 'lug_boot': 0.0, 'safety': 0.263}",71.098,0:00:01.590340,0:00:00.721733
3,10,"{'buying': 0.154, 'maint': 0.231, 'doors': 0.0, 'persons': 0.231, 'lug_boot': 0.0, 'safety': 0.385}",71.098,0:00:01.261171,0:00:00.620698
2,10,"{'buying': 0.1, 'maint': 0.1, 'doors': 0.2, 'persons': 0.2, 'lug_boot': 0.15, 'safety': 0.25}",71.098,0:00:00.982018,0:00:00.695321
1,25,"{'buying': 0.188, 'maint': 0.125, 'doors': 0.104, 'persons': 0.229, 'lug_boot': 0.083, 'safety': 0.271}",71.098,0:00:01.382686,0:00:01.817385
3,25,"{'buying': 0.176, 'maint': 0.147, 'doors': 0.0, 'persons': 0.353, 'lug_boot': 0.0, 'safety': 0.324}",71.098,0:00:03.225305,0:00:01.571764
3,25,"{'buying': 0.188, 'maint': 0.094, 'doors': 0.0, 'persons': 0.344, 'lug_boot': 0.0, 'safety': 0.375}",71.098,0:00:02.880166,0:00:01.764081
2,25,"{'buying': 0.14, 'maint': 0.093, 'doors': 0.0, 'persons': 0.302, 'lug_boot': 0.07, 'safety': 0.395}",71.098,0:00:03.033433,0:00:01.869318
1,50,"{'buying': 0.2, 'maint': 0.146, 'doors': 0.138, 'persons': 0.192, 'lug_boot': 0.162, 'safety': 0.162}",71.098,0:00:03.561420,0:00:04.032271
3,50,"{'buying': 0.149, 'maint': 0.09, 'doors': 0.015, 'persons': 0.328, 'lug_boot': 0.03, 'safety': 0.388}",71.098,0:00:05.838706,0:00:03.056274
3,50,"{'buying': 0.121, 'maint': 0.052, 'doors': 0.0, 'persons': 0.448, 'lug_boot': 0.0, 'safety': 0.379}",71.098,0:00:05.863218,0:00:02.951091
2,50,"{'buying': 0.217, 'maint': 0.169, 'doors': 0.012, 'persons': 0.301, 'lug_boot': 0.048, 'safety': 0.253}",71.098,0:00:04.733917,0:00:03.402347
1,75,"{'buying': 0.141, 'maint': 0.166, 'doors': 0.166, 'persons': 0.227, 'lug_boot': 0.098, 'safety': 0.202}",71.098,0:00:04.512726,0:00:05.549774
3,75,"{'buying': 0.118, 'maint': 0.086, 'doors': 0.0, 'persons': 0.355, 'lug_boot': 0.011, 'safety': 0.43}",71.098,0:00:09.059005,0:00:04.699481
3,75,"{'buying': 0.165, 'maint': 0.072, 'doors': 0.01, 'persons': 0.33, 'lug_boot': 0.01, 'safety': 0.412}",71.098,0:00:08.707106,0:00:04.499663
2,75,"{'buying': 0.197, 'maint': 0.143, 'doors': 0.02, 'persons': 0.265, 'lug_boot': 0.095, 'safety': 0.279}",71.098,0:00:08.023397,0:00:05.560988
1,100,"{'buying': 0.165, 'maint': 0.11, 'doors': 0.151, 'persons': 0.243, 'lug_boot': 0.124, 'safety': 0.206}",71.098,0:00:05.866965,0:00:07.127285
3,100,"{'buying': 0.149, 'maint': 0.097, 'doors': 0.0, 'persons': 0.396, 'lug_boot': 0.007, 'safety': 0.351}",71.098,0:00:11.791990,0:00:06.045764
3,100,"{'buying': 0.141, 'maint': 0.086, 'doors': 0.0, 'persons': 0.383, 'lug_boot': 0.008, 'safety': 0.383}",71.098,0:00:11.835569,0:00:06.335388
2,100,"{'buying': 0.185, 'maint': 0.127, 'doors': 0.048, 'persons': 0.328, 'lug_boot': 0.095, 'safety': 0.217}",71.098,0:00:09.974803,0:00:06.975743
