F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'mcg': 0.333, 'gvh': 0.0, 'aac': 0.333, 'alm1': 0.333, 'alm2': 0.0}",47.059,0:00:00.509198,0:00:00.013102
3,1,"{'mcg': 0.417, 'gvh': 0.083, 'aac': 0.167, 'alm1': 0.25, 'alm2': 0.083}",79.412,0:00:02.739655,0:00:00.049808
3,1,"{'mcg': 0.364, 'gvh': 0.091, 'aac': 0.091, 'alm1': 0.364, 'alm2': 0.091}",82.353,0:00:02.748821,0:00:00.049104
2,1,"{'mcg': 0.182, 'gvh': 0.364, 'aac': 0.182, 'alm1': 0.091, 'alm2': 0.182}",79.412,0:00:01.853689,0:00:00.044563
1,10,"{'mcg': 0.108, 'gvh': 0.243, 'aac': 0.203, 'alm1': 0.162, 'alm2': 0.284}",79.412,0:00:09.201109,0:00:00.362628
3,10,"{'mcg': 0.309, 'gvh': 0.186, 'aac': 0.206, 'alm1': 0.175, 'alm2': 0.124}",85.294,0:00:26.843247,0:00:00.406645
3,10,"{'mcg': 0.267, 'gvh': 0.2, 'aac': 0.147, 'alm1': 0.267, 'alm2': 0.12}",80.882,0:00:25.540863,0:00:00.394342
2,10,"{'mcg': 0.272, 'gvh': 0.148, 'aac': 0.16, 'alm1': 0.247, 'alm2': 0.173}",80.882,0:00:18.530892,0:00:00.406944
1,25,"{'mcg': 0.222, 'gvh': 0.186, 'aac': 0.204, 'alm1': 0.199, 'alm2': 0.19}",82.353,0:00:24.770271,0:00:00.946615
3,25,"{'mcg': 0.279, 'gvh': 0.175, 'aac': 0.183, 'alm1': 0.196, 'alm2': 0.167}",83.824,0:01:07.057697,0:00:01.283472
3,25,"{'mcg': 0.25, 'gvh': 0.224, 'aac': 0.149, 'alm1': 0.237, 'alm2': 0.14}",85.294,0:01:08.929132,0:00:00.979686
2,25,"{'mcg': 0.243, 'gvh': 0.206, 'aac': 0.179, 'alm1': 0.257, 'alm2': 0.115}",83.824,0:00:44.998549,0:00:00.997120
1,50,"{'mcg': 0.237, 'gvh': 0.206, 'aac': 0.181, 'alm1': 0.186, 'alm2': 0.19}",82.353,0:00:50.174461,0:00:01.940512
3,50,"{'mcg': 0.259, 'gvh': 0.2, 'aac': 0.165, 'alm1': 0.243, 'alm2': 0.133}",82.353,0:02:16.480955,0:00:02.073417
3,50,"{'mcg': 0.285, 'gvh': 0.208, 'aac': 0.183, 'alm1': 0.192, 'alm2': 0.132}",85.294,0:02:31.888011,0:00:02.559015
2,50,"{'mcg': 0.26, 'gvh': 0.192, 'aac': 0.118, 'alm1': 0.252, 'alm2': 0.178}",82.353,0:01:26.310031,0:00:01.762211
1,75,"{'mcg': 0.217, 'gvh': 0.177, 'aac': 0.189, 'alm1': 0.222, 'alm2': 0.195}",82.353,0:01:05.445623,0:00:02.450512
3,75,"{'mcg': 0.294, 'gvh': 0.199, 'aac': 0.163, 'alm1': 0.221, 'alm2': 0.124}",83.824,0:03:13.778236,0:00:02.892464
3,75,"{'mcg': 0.278, 'gvh': 0.167, 'aac': 0.186, 'alm1': 0.243, 'alm2': 0.127}",85.294,0:03:04.870106,0:00:02.570426
2,75,"{'mcg': 0.252, 'gvh': 0.199, 'aac': 0.158, 'alm1': 0.245, 'alm2': 0.146}",80.882,0:02:03.167179,0:00:02.759114
1,100,"{'mcg': 0.196, 'gvh': 0.209, 'aac': 0.165, 'alm1': 0.231, 'alm2': 0.199}",80.882,0:01:30.718709,0:00:03.442045
3,100,"{'mcg': 0.283, 'gvh': 0.19, 'aac': 0.183, 'alm1': 0.207, 'alm2': 0.138}",82.353,0:04:02.728154,0:00:03.750784
3,100,"{'mcg': 0.291, 'gvh': 0.196, 'aac': 0.172, 'alm1': 0.218, 'alm2': 0.123}",85.294,0:04:02.183978,0:00:03.684737
2,100,"{'mcg': 0.231, 'gvh': 0.208, 'aac': 0.168, 'alm1': 0.223, 'alm2': 0.171}",83.824,0:03:03.265573,0:00:03.893281
