F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'area': 0.125, 'perimeter': 0.25, 'majoraxis': 0.188, 'minoraxis': 0.062, 'eccentricity': 0.188, 'convex_area': 0.062, 'extent': 0.125}",91.207,0:00:27.413012,0:00:00.642820
3,1,"{'area': 0.1, 'perimeter': 0.4, 'majoraxis': 0.1, 'minoraxis': 0.1, 'eccentricity': 0.2, 'convex_area': 0.1, 'extent': 0.0}",87.795,0:00:54.020140,0:00:00.686213
3,1,"{'area': 0.083, 'perimeter': 0.25, 'majoraxis': 0.417, 'minoraxis': 0.083, 'eccentricity': 0.083, 'convex_area': 0.083, 'extent': 0.0}",91.995,0:01:01.401251,0:00:00.737116
2,1,"{'area': 0.333, 'perimeter': 0.0, 'majoraxis': 0.333, 'minoraxis': 0.0, 'eccentricity': 0.167, 'convex_area': 0.0, 'extent': 0.167}",92.126,0:00:26.806564,0:00:00.422547
1,10,"{'area': 0.112, 'perimeter': 0.2, 'majoraxis': 0.125, 'minoraxis': 0.138, 'eccentricity': 0.15, 'convex_area': 0.138, 'extent': 0.138}",91.864,0:03:07.082391,0:00:05.895349
3,10,"{'area': 0.03, 'perimeter': 0.228, 'majoraxis': 0.347, 'minoraxis': 0.04, 'eccentricity': 0.099, 'convex_area': 0.129, 'extent': 0.129}",91.732,0:09:10.737793,0:00:05.989430
3,10,"{'area': 0.097, 'perimeter': 0.184, 'majoraxis': 0.369, 'minoraxis': 0.058, 'eccentricity': 0.146, 'convex_area': 0.068, 'extent': 0.078}",91.47,0:08:58.457376,0:00:06.174975
2,10,"{'area': 0.124, 'perimeter': 0.186, 'majoraxis': 0.237, 'minoraxis': 0.031, 'eccentricity': 0.165, 'convex_area': 0.175, 'extent': 0.082}",91.076,0:06:12.249210,0:00:05.935685
1,25,"{'area': 0.157, 'perimeter': 0.194, 'majoraxis': 0.134, 'minoraxis': 0.167, 'eccentricity': 0.125, 'convex_area': 0.106, 'extent': 0.116}",90.945,0:07:44.654271,0:00:12.512538
3,25,"{'area': 0.047, 'perimeter': 0.241, 'majoraxis': 0.325, 'minoraxis': 0.042, 'eccentricity': 0.146, 'convex_area': 0.104, 'extent': 0.094}",91.732,0:21:37.413375,0:00:14.594790
3,25,"{'area': 0.068, 'perimeter': 0.228, 'majoraxis': 0.383, 'minoraxis': 0.019, 'eccentricity': 0.126, 'convex_area': 0.107, 'extent': 0.068}",91.864,0:20:41.166810,0:00:15.063681
2,25,"{'area': 0.1, 'perimeter': 0.252, 'majoraxis': 0.243, 'minoraxis': 0.086, 'eccentricity': 0.133, 'convex_area': 0.1, 'extent': 0.086}",91.207,0:14:07.663367,0:00:13.765839
1,50,"{'area': 0.14, 'perimeter': 0.103, 'majoraxis': 0.172, 'minoraxis': 0.146, 'eccentricity': 0.134, 'convex_area': 0.163, 'extent': 0.142}",90.814,0:15:01.500095,0:00:26.835233
3,50,"{'area': 0.083, 'perimeter': 0.201, 'majoraxis': 0.33, 'minoraxis': 0.05, 'eccentricity': 0.136, 'convex_area': 0.12, 'extent': 0.079}",91.995,0:42:59.724429,0:00:27.534217
3,50,"{'area': 0.046, 'perimeter': 0.246, 'majoraxis': 0.321, 'minoraxis': 0.062, 'eccentricity': 0.122, 'convex_area': 0.104, 'extent': 0.1}",91.995,0:40:46.245276,0:00:30.190769
2,50,"{'area': 0.101, 'perimeter': 0.214, 'majoraxis': 0.286, 'minoraxis': 0.054, 'eccentricity': 0.128, 'convex_area': 0.135, 'extent': 0.081}",91.732,0:26:56.188612,0:00:26.285575
1,75,"{'area': 0.139, 'perimeter': 0.152, 'majoraxis': 0.149, 'minoraxis': 0.144, 'eccentricity': 0.146, 'convex_area': 0.115, 'extent': 0.154}",91.076,0:20:12.904074,0:00:37.761748
3,75,"{'area': 0.078, 'perimeter': 0.234, 'majoraxis': 0.296, 'minoraxis': 0.058, 'eccentricity': 0.148, 'convex_area': 0.085, 'extent': 0.101}",91.995,1:07:08.487354,0:00:47.506846
3,75,"{'area': 0.079, 'perimeter': 0.228, 'majoraxis': 0.343, 'minoraxis': 0.056, 'eccentricity': 0.104, 'convex_area': 0.099, 'extent': 0.091}",91.995,1:02:48.140472,0:00:41.663806
2,75,"{'area': 0.103, 'perimeter': 0.2, 'majoraxis': 0.254, 'minoraxis': 0.08, 'eccentricity': 0.142, 'convex_area': 0.156, 'extent': 0.064}",91.601,0:41:19.647285,0:00:40.846979
1,100,"{'area': 0.144, 'perimeter': 0.157, 'majoraxis': 0.148, 'minoraxis': 0.129, 'eccentricity': 0.117, 'convex_area': 0.153, 'extent': 0.151}",91.076,0:30:34.505356,0:00:55.645014
3,100,"{'area': 0.068, 'perimeter': 0.227, 'majoraxis': 0.321, 'minoraxis': 0.041, 'eccentricity': 0.132, 'convex_area': 0.099, 'extent': 0.111}",91.47,1:22:26.042837,0:01:09.919635
3,100,"{'area': 0.067, 'perimeter': 0.234, 'majoraxis': 0.287, 'minoraxis': 0.045, 'eccentricity': 0.167, 'convex_area': 0.109, 'extent': 0.091}",91.732,1:25:30.811276,0:00:58.695791
2,100,"{'area': 0.106, 'perimeter': 0.21, 'majoraxis': 0.263, 'minoraxis': 0.086, 'eccentricity': 0.135, 'convex_area': 0.124, 'extent': 0.075}",91.732,0:58:21.892858,0:00:54.350735
