F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'Eye Colour': 0.5, 'Hair Colour': 0.5, 'Height': 0.0}",50.0,0:00:00.012792,0:00:00.000749
3,1,"{'Eye Colour': 1.0, 'Hair Colour': 0.0, 'Height': 0.0}",50.0,0:00:00.012702,0:00:00.000432
2,1,"{'Eye Colour': 1.0, 'Hair Colour': 0.0, 'Height': 0.0}",50.0,0:00:00.009770,0:00:00.000444
1,1,"{'Eye Colour': 1.0, 'Hair Colour': 0.0, 'Height': 0.0}",50.0,0:00:00.006650,0:00:00.000450
1,10,"{'Eye Colour': 0.462, 'Hair Colour': 0.308, 'Height': 0.231}",100.0,0:00:00.082281,0:00:00.003655
3,10,"{'Eye Colour': 0.778, 'Hair Colour': 0.0, 'Height': 0.222}",50.0,0:00:00.122961,0:00:00.002903
2,10,"{'Eye Colour': 0.9, 'Hair Colour': 0.1, 'Height': 0.0}",50.0,0:00:00.104160,0:00:00.003300
1,10,"{'Eye Colour': 0.583, 'Hair Colour': 0.167, 'Height': 0.25}",50.0,0:00:00.105067,0:00:00.003972
1,25,"{'Eye Colour': 0.531, 'Hair Colour': 0.219, 'Height': 0.25}",50.0,0:00:00.196535,0:00:00.009189
3,25,"{'Eye Colour': 0.957, 'Hair Colour': 0.0, 'Height': 0.043}",50.0,0:00:00.357316,0:00:00.007689
2,25,"{'Eye Colour': 0.733, 'Hair Colour': 0.1, 'Height': 0.167}",50.0,0:00:00.297678,0:00:00.012817
1,25,"{'Eye Colour': 0.412, 'Hair Colour': 0.265, 'Height': 0.324}",50.0,0:00:00.233617,0:00:00.008456
1,50,"{'Eye Colour': 0.45, 'Hair Colour': 0.317, 'Height': 0.233}",50.0,0:00:00.482723,0:00:00.029878
3,50,"{'Eye Colour': 0.938, 'Hair Colour': 0.0, 'Height': 0.062}",50.0,0:00:00.702665,0:00:00.015779
2,50,"{'Eye Colour': 0.691, 'Hair Colour': 0.109, 'Height': 0.2}",50.0,0:00:00.508798,0:00:00.019525
1,50,"{'Eye Colour': 0.485, 'Hair Colour': 0.242, 'Height': 0.273}",50.0,0:00:00.400321,0:00:00.016078
1,75,"{'Eye Colour': 0.474, 'Hair Colour': 0.268, 'Height': 0.258}",50.0,0:00:00.570191,0:00:00.030749
3,75,"{'Eye Colour': 0.9, 'Hair Colour': 0.0, 'Height': 0.1}",50.0,0:00:00.866707,0:00:00.023194
2,75,"{'Eye Colour': 0.667, 'Hair Colour': 0.062, 'Height': 0.272}",50.0,0:00:00.789833,0:00:00.023831
1,75,"{'Eye Colour': 0.489, 'Hair Colour': 0.227, 'Height': 0.284}",50.0,0:00:00.559974,0:00:00.026282
1,100,"{'Eye Colour': 0.449, 'Hair Colour': 0.276, 'Height': 0.276}",50.0,0:00:00.731762,0:00:00.033560
3,100,"{'Eye Colour': 0.856, 'Hair Colour': 0.031, 'Height': 0.113}",50.0,0:00:01.252954,0:00:00.033281
2,100,"{'Eye Colour': 0.708, 'Hair Colour': 0.066, 'Height': 0.226}",50.0,0:00:00.966711,0:00:00.034036
1,100,"{'Eye Colour': 0.462, 'Hair Colour': 0.202, 'Height': 0.336}",50.0,0:00:00.727592,0:00:00.029841
