F,NT,Feat_Freq,Accuracy,Train_Time,Classif_Time
1,1,"{'gender': 0.0, 'age': 0.0, 'hypertension': 0.0, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.333, 'Residence_type': 0.0, 'avg_glucose_level': 0.333, 'bmi': 0.333, 'smoking_status': 0.0}",94.521,0:00:02.726508,0:00:00.376855
3,1,"{'gender': 0.0, 'age': 0.0, 'hypertension': 0.0, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.5, 'Residence_type': 0.0, 'avg_glucose_level': 0.5, 'bmi': 0.0, 'smoking_status': 0.0}",94.521,0:00:05.800798,0:00:00.273752
4,1,"{'gender': 0.0, 'age': 0.4, 'hypertension': 0.0, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.2, 'Residence_type': 0.0, 'avg_glucose_level': 0.2, 'bmi': 0.2, 'smoking_status': 0.0}",94.521,0:00:12.516697,0:00:00.660676
3,1,"{'gender': 0.0, 'age': 0.333, 'hypertension': 0.0, 'heart_disease': 0.0, 'ever_married': 0.0, 'work_type': 0.333, 'Residence_type': 0.0, 'avg_glucose_level': 0.0, 'bmi': 0.333, 'smoking_status': 0.0}",94.521,0:00:02.673716,0:00:00.410941
1,10,"{'gender': 0.139, 'age': 0.167, 'hypertension': 0.111, 'heart_disease': 0.111, 'ever_married': 0.056, 'work_type': 0.056, 'Residence_type': 0.028, 'avg_glucose_level': 0.083, 'bmi': 0.139, 'smoking_status': 0.111}",94.521,0:00:25.971198,0:00:03.953291
3,10,"{'gender': 0.02, 'age': 0.36, 'hypertension': 0.06, 'heart_disease': 0.06, 'ever_married': 0.12, 'work_type': 0.02, 'Residence_type': 0.0, 'avg_glucose_level': 0.16, 'bmi': 0.12, 'smoking_status': 0.08}",94.521,0:01:13.372185,0:00:05.130097
4,10,"{'gender': 0.0, 'age': 0.328, 'hypertension': 0.086, 'heart_disease': 0.086, 'ever_married': 0.086, 'work_type': 0.017, 'Residence_type': 0.0, 'avg_glucose_level': 0.241, 'bmi': 0.121, 'smoking_status': 0.034}",94.521,0:01:51.973006,0:00:06.471760
3,10,"{'gender': 0.036, 'age': 0.309, 'hypertension': 0.055, 'heart_disease': 0.055, 'ever_married': 0.073, 'work_type': 0.091, 'Residence_type': 0.0, 'avg_glucose_level': 0.218, 'bmi': 0.036, 'smoking_status': 0.127}",94.521,0:01:38.184077,0:00:06.507331
1,25,"{'gender': 0.08, 'age': 0.093, 'hypertension': 0.107, 'heart_disease': 0.08, 'ever_married': 0.133, 'work_type': 0.133, 'Residence_type': 0.08, 'avg_glucose_level': 0.093, 'bmi': 0.067, 'smoking_status': 0.133}",94.521,0:00:46.724183,0:00:09.992012
3,25,"{'gender': 0.033, 'age': 0.35, 'hypertension': 0.089, 'heart_disease': 0.033, 'ever_married': 0.065, 'work_type': 0.057, 'Residence_type': 0.008, 'avg_glucose_level': 0.195, 'bmi': 0.13, 'smoking_status': 0.041}",94.521,0:03:45.579881,0:00:14.791637
4,25,"{'gender': 0.007, 'age': 0.441, 'hypertension': 0.074, 'heart_disease': 0.037, 'ever_married': 0.059, 'work_type': 0.059, 'Residence_type': 0.0, 'avg_glucose_level': 0.14, 'bmi': 0.132, 'smoking_status': 0.051}",94.521,0:03:56.648030,0:00:16.225997
3,25,"{'gender': 0.021, 'age': 0.243, 'hypertension': 0.107, 'heart_disease': 0.093, 'ever_married': 0.064, 'work_type': 0.114, 'Residence_type': 0.021, 'avg_glucose_level': 0.164, 'bmi': 0.093, 'smoking_status': 0.079}",94.521,0:03:28.386960,0:00:16.969665
1,50,"{'gender': 0.083, 'age': 0.111, 'hypertension': 0.1, 'heart_disease': 0.089, 'ever_married': 0.094, 'work_type': 0.089, 'Residence_type': 0.078, 'avg_glucose_level': 0.111, 'bmi': 0.111, 'smoking_status': 0.133}",94.521,0:02:07.151718,0:00:22.667639
3,50,"{'gender': 0.012, 'age': 0.281, 'hypertension': 0.076, 'heart_disease': 0.04, 'ever_married': 0.088, 'work_type': 0.064, 'Residence_type': 0.024, 'avg_glucose_level': 0.189, 'bmi': 0.141, 'smoking_status': 0.084}",94.521,0:07:02.874044,0:00:29.103046
4,50,"{'gender': 0.004, 'age': 0.326, 'hypertension': 0.066, 'heart_disease': 0.05, 'ever_married': 0.058, 'work_type': 0.074, 'Residence_type': 0.008, 'avg_glucose_level': 0.221, 'bmi': 0.132, 'smoking_status': 0.062}",94.521,0:08:42.434271,0:00:28.222078
3,50,"{'gender': 0.026, 'age': 0.255, 'hypertension': 0.082, 'heart_disease': 0.052, 'ever_married': 0.082, 'work_type': 0.113, 'Residence_type': 0.013, 'avg_glucose_level': 0.19, 'bmi': 0.113, 'smoking_status': 0.074}",94.521,0:05:35.760811,0:00:25.339905
1,75,"{'gender': 0.082, 'age': 0.131, 'hypertension': 0.053, 'heart_disease': 0.082, 'ever_married': 0.078, 'work_type': 0.131, 'Residence_type': 0.094, 'avg_glucose_level': 0.16, 'bmi': 0.115, 'smoking_status': 0.074}",94.521,0:03:40.867196,0:00:27.633311
